[0.0 ns] clk=1 | reset=1 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=0 | wb_rd=00000 | wb_wd=00000000000000000000000000000000 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[5.0 ns] clk=0 | reset=1 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=0 | wb_rd=00000 | wb_wd=00000000000000000000000000000000 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[10.0 ns] clk=1 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=0 | wb_rd=00000 | wb_wd=00000000000000000000000000000000 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[15.0 ns] clk=0 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=1 | wb_rd=00001 | wb_wd=00000000000000000000000000001010 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[20.0 ns] clk=1 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=0 | wb_rd=00001 | wb_wd=00000000000000000000000000001010 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[25.0 ns] clk=0 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=1 | wb_rd=00010 | wb_wd=00000000000000000000000000010100 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[30.0 ns] clk=1 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=0 | wb_rd=00010 | wb_wd=00000000000000000000000000010100 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[35.0 ns] clk=0 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=1 | wb_rd=00011 | wb_wd=00000000000000000000000000000101 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[40.0 ns] clk=1 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=0 | wb_rd=00011 | wb_wd=00000000000000000000000000000101 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[45.0 ns] clk=0 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=1 | wb_rd=00000 | wb_wd=11011110101011011011111011101111 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[50.0 ns] clk=1 | reset=0 | if_pc=00000000000000000000000000000000 | if_instr=00000000000000000000000000000000 | wb_reg_write=0 | wb_rd=00000 | wb_wd=11011110101011011011111011101111 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[55.0 ns] clk=0 | reset=0 | if_pc=00000000000000000001000000000000 | if_instr=00000000001000001000001010110011 | wb_reg_write=0 | wb_rd=00000 | wb_wd=11011110101011011011111011101111 | id_pc=00000000000000000000000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00000 | id_rs2=00000 | id_rd=00000 | id_opcode=0000000 | id_funct3=000 | id_funct7=0000000
[60.0 ns] clk=1 | reset=0 | if_pc=00000000000000000001000000000000 | if_instr=00000000001000001000001010110011 | wb_reg_write=0 | wb_rd=00000 | wb_wd=11011110101011011011111011101111 | id_pc=00000000000000000001000000000000 | id_rd1=00000000000000000000000000000000 | id_rd2=00000000000000000000000000000000 | id_imm=00000000000000000000000000000000 | id_rs1=00001 | id_rs2=00010 | id_rd=00101 | id_opcode=0110011 | id_funct3=000 | id_funct7=0000000
