[5.0 ns] alu_result=00000000000000000000000000000000 | alu_result_out=00000000000000000000000000000000 | alu_result_r=00000000000000000000000000000000 | clk=0 | ex_funct3=010 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=10100010010001111000010000000111 | ex_rd2=10000110110001010100011100000000 | reset=0 | uut.alu_b=10000110110001010100011100000000 | uut.alu_ctrl=0101 | uut.alu_ctrl_inst.alu_ctrl=0101 | uut.alu_ctrl_inst.funct3=010 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=10100010010001111000010000000111 | uut.alu_inst.alu_ctrl=0101 | uut.alu_inst.b=10000110110001010100011100000000 | uut.alu_inst.result=00000000000000000000000000000000 | uut.alu_inst.zero=1 | uut.alu_result=00000000000000000000000000000000 | uut.ex_funct3=010 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=10100010010001111000010000000111 | uut.ex_rd2=10000110110001010100011100000000 | uut.zero=1 | zero=1 | zero_out=0 | zero_r=0
[10.0 ns] alu_result=00000000000000000000000000000000 | alu_result_out=00000000000000000000000000000000 | alu_result_r=00000000000000000000000000000000 | clk=1 | ex_funct3=010 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=10100010010001111000010000000111 | ex_rd2=10000110110001010100011100000000 | reset=0 | uut.alu_b=10000110110001010100011100000000 | uut.alu_ctrl=0101 | uut.alu_ctrl_inst.alu_ctrl=0101 | uut.alu_ctrl_inst.funct3=010 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=10100010010001111000010000000111 | uut.alu_inst.alu_ctrl=0101 | uut.alu_inst.b=10000110110001010100011100000000 | uut.alu_inst.result=00000000000000000000000000000000 | uut.alu_inst.zero=1 | uut.alu_result=00000000000000000000000000000000 | uut.ex_funct3=010 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=10100010010001111000010000000111 | uut.ex_rd2=10000110110001010100011100000000 | uut.zero=1 | zero=1 | zero_out=1 | zero_r=1
[15.0 ns] alu_result=00011001101000000111001101001000 | alu_result_out=00000000000000000000000000000000 | alu_result_r=00000000000000000000000000000000 | clk=0 | ex_funct3=111 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=10011001101001000111001101101010 | ex_rd2=00011011111100011111101111011000 | reset=0 | uut.alu_b=00011011111100011111101111011000 | uut.alu_ctrl=0010 | uut.alu_ctrl_inst.alu_ctrl=0010 | uut.alu_ctrl_inst.funct3=111 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=10011001101001000111001101101010 | uut.alu_inst.alu_ctrl=0010 | uut.alu_inst.b=00011011111100011111101111011000 | uut.alu_inst.result=00011001101000000111001101001000 | uut.alu_inst.zero=0 | uut.alu_result=00011001101000000111001101001000 | uut.ex_funct3=111 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=10011001101001000111001101101010 | uut.ex_rd2=00011011111100011111101111011000 | uut.zero=0 | zero=0 | zero_out=1 | zero_r=1
[20.0 ns] alu_result=00011001101000000111001101001000 | alu_result_out=00011001101000000111001101001000 | alu_result_r=00011001101000000111001101001000 | clk=1 | ex_funct3=111 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=10011001101001000111001101101010 | ex_rd2=00011011111100011111101111011000 | reset=0 | uut.alu_b=00011011111100011111101111011000 | uut.alu_ctrl=0010 | uut.alu_ctrl_inst.alu_ctrl=0010 | uut.alu_ctrl_inst.funct3=111 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=10011001101001000111001101101010 | uut.alu_inst.alu_ctrl=0010 | uut.alu_inst.b=00011011111100011111101111011000 | uut.alu_inst.result=00011001101000000111001101001000 | uut.alu_inst.zero=0 | uut.alu_result=00011001101000000111001101001000 | uut.ex_funct3=111 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=10011001101001000111001101101010 | uut.ex_rd2=00011011111100011111101111011000 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[25.0 ns] alu_result=10110100101111101101111111010111 | alu_result_out=00011001101000000111001101001000 | alu_result_r=00011001101000000111001101001000 | clk=0 | ex_funct3=110 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=10110100101111101101010011010111 | ex_rd2=00010000101100001101111101010001 | reset=0 | uut.alu_b=00010000101100001101111101010001 | uut.alu_ctrl=0011 | uut.alu_ctrl_inst.alu_ctrl=0011 | uut.alu_ctrl_inst.funct3=110 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=10110100101111101101010011010111 | uut.alu_inst.alu_ctrl=0011 | uut.alu_inst.b=00010000101100001101111101010001 | uut.alu_inst.result=10110100101111101101111111010111 | uut.alu_inst.zero=0 | uut.alu_result=10110100101111101101111111010111 | uut.ex_funct3=110 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=10110100101111101101010011010111 | uut.ex_rd2=00010000101100001101111101010001 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[30.0 ns] alu_result=10110100101111101101111111010111 | alu_result_out=10110100101111101101111111010111 | alu_result_r=10110100101111101101111111010111 | clk=1 | ex_funct3=110 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=10110100101111101101010011010111 | ex_rd2=00010000101100001101111101010001 | reset=0 | uut.alu_b=00010000101100001101111101010001 | uut.alu_ctrl=0011 | uut.alu_ctrl_inst.alu_ctrl=0011 | uut.alu_ctrl_inst.funct3=110 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=10110100101111101101010011010111 | uut.alu_inst.alu_ctrl=0011 | uut.alu_inst.b=00010000101100001101111101010001 | uut.alu_inst.result=10110100101111101101111111010111 | uut.alu_inst.zero=0 | uut.alu_result=10110100101111101101111111010111 | uut.ex_funct3=110 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=10110100101111101101010011010111 | uut.ex_rd2=00010000101100001101111101010001 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[35.0 ns] alu_result=01001001111001110010100010010000 | alu_result_out=10110100101111101101111111010111 | alu_result_r=10110100101111101101111111010111 | clk=0 | ex_funct3=100 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=11010100011111011011010111110011 | ex_rd2=10011101100110101001110101100011 | reset=0 | uut.alu_b=10011101100110101001110101100011 | uut.alu_ctrl=0100 | uut.alu_ctrl_inst.alu_ctrl=0100 | uut.alu_ctrl_inst.funct3=100 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=11010100011111011011010111110011 | uut.alu_inst.alu_ctrl=0100 | uut.alu_inst.b=10011101100110101001110101100011 | uut.alu_inst.result=01001001111001110010100010010000 | uut.alu_inst.zero=0 | uut.alu_result=01001001111001110010100010010000 | uut.ex_funct3=100 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=11010100011111011011010111110011 | uut.ex_rd2=10011101100110101001110101100011 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[40.0 ns] alu_result=01001001111001110010100010010000 | alu_result_out=01001001111001110010100010010000 | alu_result_r=01001001111001110010100010010000 | clk=1 | ex_funct3=100 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=11010100011111011011010111110011 | ex_rd2=10011101100110101001110101100011 | reset=0 | uut.alu_b=10011101100110101001110101100011 | uut.alu_ctrl=0100 | uut.alu_ctrl_inst.alu_ctrl=0100 | uut.alu_ctrl_inst.funct3=100 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=11010100011111011011010111110011 | uut.alu_inst.alu_ctrl=0100 | uut.alu_inst.b=10011101100110101001110101100011 | uut.alu_inst.result=01001001111001110010100010010000 | uut.alu_inst.zero=0 | uut.alu_result=01001001111001110010100010010000 | uut.ex_funct3=100 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=11010100011111011011010111110011 | uut.ex_rd2=10011101100110101001110101100011 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[45.0 ns] alu_result=11001110110110110111111010111111 | alu_result_out=01001001111001110010100010010000 | alu_result_r=01001001111001110010100010010000 | clk=0 | ex_funct3=110 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=11001110110110010110111010011101 | ex_rd2=10001010110110110101011010111010 | reset=0 | uut.alu_b=10001010110110110101011010111010 | uut.alu_ctrl=0011 | uut.alu_ctrl_inst.alu_ctrl=0011 | uut.alu_ctrl_inst.funct3=110 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=11001110110110010110111010011101 | uut.alu_inst.alu_ctrl=0011 | uut.alu_inst.b=10001010110110110101011010111010 | uut.alu_inst.result=11001110110110110111111010111111 | uut.alu_inst.zero=0 | uut.alu_result=11001110110110110111111010111111 | uut.ex_funct3=110 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=11001110110110010110111010011101 | uut.ex_rd2=10001010110110110101011010111010 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[50.0 ns] alu_result=11001110110110110111111010111111 | alu_result_out=11001110110110110111111010111111 | alu_result_r=11001110110110110111111010111111 | clk=1 | ex_funct3=110 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=11001110110110010110111010011101 | ex_rd2=10001010110110110101011010111010 | reset=0 | uut.alu_b=10001010110110110101011010111010 | uut.alu_ctrl=0011 | uut.alu_ctrl_inst.alu_ctrl=0011 | uut.alu_ctrl_inst.funct3=110 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=11001110110110010110111010011101 | uut.alu_inst.alu_ctrl=0011 | uut.alu_inst.b=10001010110110110101011010111010 | uut.alu_inst.result=11001110110110110111111010111111 | uut.alu_inst.zero=0 | uut.alu_result=11001110110110110111111010111111 | uut.ex_funct3=110 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=11001110110110010110111010011101 | uut.ex_rd2=10001010110110110101011010111010 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[55.0 ns] alu_result=10101101100100011000001100110000 | alu_result_out=11001110110110110111111010111111 | alu_result_r=11001110110110110111111010111111 | clk=0 | ex_funct3=000 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=01111000100111101100001000010010 | ex_rd2=11001011000011010011111011100001 | reset=0 | uut.alu_b=11001011000011010011111011100001 | uut.alu_ctrl=0000 | uut.alu_ctrl_inst.alu_ctrl=0000 | uut.alu_ctrl_inst.funct3=000 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=01111000100111101100001000010010 | uut.alu_inst.alu_ctrl=0000 | uut.alu_inst.b=11001011000011010011111011100001 | uut.alu_inst.result=10101101100100011000001100110000 | uut.alu_inst.zero=0 | uut.alu_result=10101101100100011000001100110000 | uut.ex_funct3=000 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=01111000100111101100001000010010 | uut.ex_rd2=11001011000011010011111011100001 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
