[0.0 ns] clk=1 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[1.0 ns] clk=0 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[2.0 ns] clk=1 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[3.0 ns] clk=0 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[4.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010000 | write_data=00100111011110101110001100111010 | read_data=00000000000000000000000000000000
[5.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010000 | write_data=00100111011110101110001100111010 | read_data=00000000000000000000000000000000
[6.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010001 | write_data=10111111111100011001100001001010 | read_data=00000000000000000000000000000000
[7.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010001 | write_data=10111111111100011001100001001010 | read_data=00000000000000000000000000000000
[8.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010010 | write_data=11101001110110010000101000100011 | read_data=00000000000000000000000000000000
[9.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010010 | write_data=11101001110110010000101000100011 | read_data=00000000000000000000000000000000
[10.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010011 | write_data=11110111011101011010001101001101 | read_data=00000000000000000000000000000000
[11.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010011 | write_data=11110111011101011010001101001101 | read_data=00000000000000000000000000000000
[12.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010100 | write_data=00101110100101010110111100011111 | read_data=00000000000000000000000000000000
[13.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010100 | write_data=00101110100101010110111100011111 | read_data=00000000000000000000000000000000
[14.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010101 | write_data=11011111111011010011111000101101 | read_data=00000000000000000000000000000000
[15.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010101 | write_data=11011111111011010011111000101101 | read_data=00000000000000000000000000000000
[16.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010110 | write_data=00111000100100101000001010010111 | read_data=00000000000000000000000000000000
[17.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010110 | write_data=00111000100100101000001010010111 | read_data=00000000000000000000000000000000
[18.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010111 | write_data=01110001010101010001011111000000 | read_data=00000000000000000000000000000000
