[0.0 ns] clk=1 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[1.0 ns] clk=0 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[2.0 ns] clk=1 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[3.0 ns] clk=0 | reset_n=0 | cs=0 | we=0 | address=00000000 | write_data=00000000000000000000000000000000 | read_data=00000000000000000000000000000000
[4.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010000 | write_data=10101000000010000101100100001101 | read_data=00000000000000000000000000000000
[5.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010000 | write_data=10101000000010000101100100001101 | read_data=00000000000000000000000000000000
[6.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010001 | write_data=11101001101100010010110100010001 | read_data=00000000000000000000000000000000
[7.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010001 | write_data=11101001101100010010110100010001 | read_data=00000000000000000000000000000000
[8.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010010 | write_data=01001000001010000000011111100011 | read_data=00000000000000000000000000000000
[9.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010010 | write_data=01001000001010000000011111100011 | read_data=00000000000000000000000000000000
[10.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010011 | write_data=11110110100001001110001010111010 | read_data=00000000000000000000000000000000
[11.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010011 | write_data=11110110100001001110001010111010 | read_data=00000000000000000000000000000000
[12.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010100 | write_data=10001010100100111100010001101100 | read_data=00000000000000000000000000000000
[13.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010100 | write_data=10001010100100111100010001101100 | read_data=00000000000000000000000000000000
[14.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010101 | write_data=01000110011010110101010000001101 | read_data=00000000000000000000000000000000
[15.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010101 | write_data=01000110011010110101010000001101 | read_data=00000000000000000000000000000000
[16.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010110 | write_data=11101101001010000100110001001011 | read_data=00000000000000000000000000000000
[17.0 ns] clk=0 | reset_n=1 | cs=1 | we=1 | address=00010110 | write_data=11101101001010000100110001001011 | read_data=00000000000000000000000000000000
[18.0 ns] clk=1 | reset_n=1 | cs=1 | we=1 | address=00010111 | write_data=10100000111010001101010111110011 | read_data=00000000000000000000000000000000
