[0.0] f_ptr=0 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[10.0] f_ptr=0 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[20.0] f_ptr=0 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[30.0] f_ptr=0 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[40.0] f_ptr=1 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[50.0] f_ptr=2 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[60.0] f_ptr=3 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[70.0] f_ptr=4 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[80.0] f_ptr=5 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[90.0] f_ptr=5 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[100.0] f_ptr=6 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[110.0] f_ptr=7 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[120.0] f_ptr=8 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[130.0] f_ptr=9 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[140.0] f_ptr=10 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[150.0] f_ptr=11 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[160.0] f_ptr=11 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[170.0] f_ptr=12 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[180.0] f_ptr=13 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[190.0] f_ptr=14 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[200.0] f_ptr=15 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[210.0] f_ptr=16 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[220.0] f_ptr=17 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[230.0] f_ptr=17 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[240.0] f_ptr=18 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[250.0] f_ptr=19 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[260.0] f_ptr=20 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[270.0] f_ptr=21 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[280.0] f_ptr=22 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[290.0] f_ptr=23 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[300.0] f_ptr=23 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[310.0] f_ptr=24 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[320.0] f_ptr=25 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[330.0] f_ptr=26 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[340.0] f_ptr=27 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[350.0] f_ptr=28 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[360.0] f_ptr=29 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[370.0] f_ptr=29 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[380.0] f_ptr=30 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[390.0] f_ptr=31 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[400.0] f_ptr=32 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[410.0] f_ptr=33 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[420.0] f_ptr=34 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[430.0] f_ptr=35 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[440.0] f_ptr=35 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[450.0] f_ptr=36 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[460.0] f_ptr=37 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[470.0] f_ptr=38 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[480.0] f_ptr=39 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[490.0] f_ptr=40 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[500.0] f_ptr=41 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[510.0] f_ptr=41 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[520.0] f_ptr=42 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[530.0] f_ptr=43 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[540.0] f_ptr=44 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[550.0] f_ptr=45 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[560.0] f_ptr=46 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[570.0] f_ptr=47 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[580.0] f_ptr=47 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[590.0] f_ptr=48 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[600.0] f_ptr=49 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[610.0] f_ptr=50 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[620.0] f_ptr=51 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[630.0] f_ptr=52 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[640.0] f_ptr=53 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[650.0] f_ptr=53 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[660.0] f_ptr=54 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[670.0] f_ptr=55 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[680.0] f_ptr=56 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[690.0] f_ptr=57 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[700.0] f_ptr=58 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[710.0] f_ptr=59 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[720.0] f_ptr=59 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[730.0] f_ptr=60 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=0 | binarize=0 | accumulate=1 | sim_check=0 | predict=0 | SC_done=0
[740.0] f_ptr=61 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[750.0] f_ptr=62 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[760.0] f_ptr=63 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
[770.0] f_ptr=64 | x_ptr=0 | class_ptr=0 | hv_ptr=0 | encode=1 | binarize=0 | accumulate=0 | sim_check=0 | predict=0 | SC_done=0
