[0.0 ns] clk=1 | rst=1 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[10.0 ns] clk=0 | rst=1 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[20.0 ns] clk=1 | rst=1 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[30.0 ns] clk=0 | rst=1 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[40.0 ns] clk=1 | rst=1 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[50.0 ns] clk=0 | rst=0 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[60.0 ns] clk=1 | rst=0 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[70.0 ns] clk=0 | rst=0 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[80.0 ns] clk=1 | rst=0 | req3=0 | req2=0 | req1=0 | req0=0 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[90.0 ns] clk=0 | rst=0 | req3=1 | req2=1 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
[100.0 ns] clk=1 | rst=0 | req3=1 | req2=1 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[110.0 ns] clk=0 | rst=0 | req3=0 | req2=1 | req1=1 | req0=0 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[120.0 ns] clk=1 | rst=0 | req3=0 | req2=1 | req1=1 | req0=0 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[130.0 ns] clk=0 | rst=0 | req3=0 | req2=1 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[140.0 ns] clk=1 | rst=0 | req3=0 | req2=1 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[150.0 ns] clk=0 | rst=0 | req3=0 | req2=0 | req1=1 | req0=0 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[160.0 ns] clk=1 | rst=0 | req3=0 | req2=0 | req1=1 | req0=0 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[170.0 ns] clk=0 | rst=0 | req3=0 | req2=0 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[180.0 ns] clk=1 | rst=0 | req3=0 | req2=0 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[190.0 ns] clk=0 | rst=0 | req3=0 | req2=0 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[200.0 ns] clk=1 | rst=0 | req3=0 | req2=0 | req1=1 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[210.0 ns] clk=0 | rst=0 | req3=0 | req2=0 | req1=0 | req0=1 | gnt3=0 | gnt2=0 | gnt1=1 | gnt0=0
[220.0 ns] clk=1 | rst=0 | req3=0 | req2=0 | req1=0 | req0=1 | gnt3=0 | gnt2=0 | gnt1=0 | gnt0=0
