[5.0 ns] alu_result=10111000110111111011000011100101 | alu_result_out=00000000000000000000000000000000 | alu_result_r=00000000000000000000000000000000 | clk=0 | ex_funct3=100 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=01111111111101010000001101000011 | ex_rd2=11000111001010101011001110100110 | reset=0 | uut.alu_b=11000111001010101011001110100110 | uut.alu_ctrl=0100 | uut.alu_ctrl_inst.alu_ctrl=0100 | uut.alu_ctrl_inst.funct3=100 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=01111111111101010000001101000011 | uut.alu_inst.alu_ctrl=0100 | uut.alu_inst.b=11000111001010101011001110100110 | uut.alu_inst.result=10111000110111111011000011100101 | uut.alu_inst.zero=0 | uut.alu_result=10111000110111111011000011100101 | uut.ex_funct3=100 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=01111111111101010000001101000011 | uut.ex_rd2=11000111001010101011001110100110 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[10.0 ns] alu_result=10111000110111111011000011100101 | alu_result_out=10111000110111111011000011100101 | alu_result_r=10111000110111111011000011100101 | clk=1 | ex_funct3=100 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=01111111111101010000001101000011 | ex_rd2=11000111001010101011001110100110 | reset=0 | uut.alu_b=11000111001010101011001110100110 | uut.alu_ctrl=0100 | uut.alu_ctrl_inst.alu_ctrl=0100 | uut.alu_ctrl_inst.funct3=100 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=01111111111101010000001101000011 | uut.alu_inst.alu_ctrl=0100 | uut.alu_inst.b=11000111001010101011001110100110 | uut.alu_inst.result=10111000110111111011000011100101 | uut.alu_inst.zero=0 | uut.alu_result=10111000110111111011000011100101 | uut.ex_funct3=100 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=01111111111101010000001101000011 | uut.ex_rd2=11000111001010101011001110100110 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[15.0 ns] alu_result=10111110100110011110011000011101 | alu_result_out=10111000110111111011000011100101 | alu_result_r=10111000110111111011000011100101 | clk=0 | ex_funct3=000 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=00110100000011101101001001110001 | ex_rd2=10001010100010110001001110101100 | reset=0 | uut.alu_b=10001010100010110001001110101100 | uut.alu_ctrl=0000 | uut.alu_ctrl_inst.alu_ctrl=0000 | uut.alu_ctrl_inst.funct3=000 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=00110100000011101101001001110001 | uut.alu_inst.alu_ctrl=0000 | uut.alu_inst.b=10001010100010110001001110101100 | uut.alu_inst.result=10111110100110011110011000011101 | uut.alu_inst.zero=0 | uut.alu_result=10111110100110011110011000011101 | uut.ex_funct3=000 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=00110100000011101101001001110001 | uut.ex_rd2=10001010100010110001001110101100 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[20.0 ns] alu_result=10111110100110011110011000011101 | alu_result_out=10111110100110011110011000011101 | alu_result_r=10111110100110011110011000011101 | clk=1 | ex_funct3=000 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=00110100000011101101001001110001 | ex_rd2=10001010100010110001001110101100 | reset=0 | uut.alu_b=10001010100010110001001110101100 | uut.alu_ctrl=0000 | uut.alu_ctrl_inst.alu_ctrl=0000 | uut.alu_ctrl_inst.funct3=000 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=00110100000011101101001001110001 | uut.alu_inst.alu_ctrl=0000 | uut.alu_inst.b=10001010100010110001001110101100 | uut.alu_inst.result=10111110100110011110011000011101 | uut.alu_inst.zero=0 | uut.alu_result=10111110100110011110011000011101 | uut.ex_funct3=000 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=00110100000011101101001001110001 | uut.ex_rd2=10001010100010110001001110101100 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[25.0 ns] alu_result=00000000000000000000000000000000 | alu_result_out=10111110100110011110011000011101 | alu_result_r=10111110100110011110011000011101 | clk=0 | ex_funct3=010 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=00110111010111101101010110111011 | ex_rd2=00000011110000000001111111011010 | reset=0 | uut.alu_b=00000011110000000001111111011010 | uut.alu_ctrl=0101 | uut.alu_ctrl_inst.alu_ctrl=0101 | uut.alu_ctrl_inst.funct3=010 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=00110111010111101101010110111011 | uut.alu_inst.alu_ctrl=0101 | uut.alu_inst.b=00000011110000000001111111011010 | uut.alu_inst.result=00000000000000000000000000000000 | uut.alu_inst.zero=1 | uut.alu_result=00000000000000000000000000000000 | uut.ex_funct3=010 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=00110111010111101101010110111011 | uut.ex_rd2=00000011110000000001111111011010 | uut.zero=1 | zero=1 | zero_out=0 | zero_r=0
[30.0 ns] alu_result=00000000000000000000000000000000 | alu_result_out=00000000000000000000000000000000 | alu_result_r=00000000000000000000000000000000 | clk=1 | ex_funct3=010 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=00110111010111101101010110111011 | ex_rd2=00000011110000000001111111011010 | reset=0 | uut.alu_b=00000011110000000001111111011010 | uut.alu_ctrl=0101 | uut.alu_ctrl_inst.alu_ctrl=0101 | uut.alu_ctrl_inst.funct3=010 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=00110111010111101101010110111011 | uut.alu_inst.alu_ctrl=0101 | uut.alu_inst.b=00000011110000000001111111011010 | uut.alu_inst.result=00000000000000000000000000000000 | uut.alu_inst.zero=1 | uut.alu_result=00000000000000000000000000000000 | uut.ex_funct3=010 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=00110111010111101101010110111011 | uut.ex_rd2=00000011110000000001111111011010 | uut.zero=1 | zero=1 | zero_out=1 | zero_r=1
[35.0 ns] alu_result=01111111100000101110111101101011 | alu_result_out=00000000000000000000000000000000 | alu_result_r=00000000000000000000000000000000 | clk=0 | ex_funct3=110 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=00111110100000001110101001101011 | ex_rd2=01110101000000100110011100100011 | reset=0 | uut.alu_b=01110101000000100110011100100011 | uut.alu_ctrl=0011 | uut.alu_ctrl_inst.alu_ctrl=0011 | uut.alu_ctrl_inst.funct3=110 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=00111110100000001110101001101011 | uut.alu_inst.alu_ctrl=0011 | uut.alu_inst.b=01110101000000100110011100100011 | uut.alu_inst.result=01111111100000101110111101101011 | uut.alu_inst.zero=0 | uut.alu_result=01111111100000101110111101101011 | uut.ex_funct3=110 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=00111110100000001110101001101011 | uut.ex_rd2=01110101000000100110011100100011 | uut.zero=0 | zero=0 | zero_out=1 | zero_r=1
[40.0 ns] alu_result=01111111100000101110111101101011 | alu_result_out=01111111100000101110111101101011 | alu_result_r=01111111100000101110111101101011 | clk=1 | ex_funct3=110 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=00111110100000001110101001101011 | ex_rd2=01110101000000100110011100100011 | reset=0 | uut.alu_b=01110101000000100110011100100011 | uut.alu_ctrl=0011 | uut.alu_ctrl_inst.alu_ctrl=0011 | uut.alu_ctrl_inst.funct3=110 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=00111110100000001110101001101011 | uut.alu_inst.alu_ctrl=0011 | uut.alu_inst.b=01110101000000100110011100100011 | uut.alu_inst.result=01111111100000101110111101101011 | uut.alu_inst.zero=0 | uut.alu_result=01111111100000101110111101101011 | uut.ex_funct3=110 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=00111110100000001110101001101011 | uut.ex_rd2=01110101000000100110011100100011 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[45.0 ns] alu_result=01010010000011011000111010011010 | alu_result_out=01111111100000101110111101101011 | alu_result_r=01111111100000101110111101101011 | clk=0 | ex_funct3=000 | ex_funct7=0100000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=01010101000100000010011000100100 | ex_rd2=00000011000000101001011110001010 | reset=0 | uut.alu_b=00000011000000101001011110001010 | uut.alu_ctrl=0001 | uut.alu_ctrl_inst.alu_ctrl=0001 | uut.alu_ctrl_inst.funct3=000 | uut.alu_ctrl_inst.funct7=0100000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=01010101000100000010011000100100 | uut.alu_inst.alu_ctrl=0001 | uut.alu_inst.b=00000011000000101001011110001010 | uut.alu_inst.result=01010010000011011000111010011010 | uut.alu_inst.zero=0 | uut.alu_result=01010010000011011000111010011010 | uut.ex_funct3=000 | uut.ex_funct7=0100000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=01010101000100000010011000100100 | uut.ex_rd2=00000011000000101001011110001010 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[50.0 ns] alu_result=01010010000011011000111010011010 | alu_result_out=01010010000011011000111010011010 | alu_result_r=01010010000011011000111010011010 | clk=1 | ex_funct3=000 | ex_funct7=0100000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=01010101000100000010011000100100 | ex_rd2=00000011000000101001011110001010 | reset=0 | uut.alu_b=00000011000000101001011110001010 | uut.alu_ctrl=0001 | uut.alu_ctrl_inst.alu_ctrl=0001 | uut.alu_ctrl_inst.funct3=000 | uut.alu_ctrl_inst.funct7=0100000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=01010101000100000010011000100100 | uut.alu_inst.alu_ctrl=0001 | uut.alu_inst.b=00000011000000101001011110001010 | uut.alu_inst.result=01010010000011011000111010011010 | uut.alu_inst.zero=0 | uut.alu_result=01010010000011011000111010011010 | uut.ex_funct3=000 | uut.ex_funct7=0100000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=01010101000100000010011000100100 | uut.ex_rd2=00000011000000101001011110001010 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
[55.0 ns] alu_result=01110100111101100011011000011100 | alu_result_out=01010010000011011000111010011010 | alu_result_r=01010010000011011000111010011010 | clk=0 | ex_funct3=000 | ex_funct7=0000000 | ex_imm=00000000000000000000000000000000 | ex_opcode=0110011 | ex_rd1=01101111011010001101000110101111 | ex_rd2=00000101100011010110010001101101 | reset=0 | uut.alu_b=00000101100011010110010001101101 | uut.alu_ctrl=0000 | uut.alu_ctrl_inst.alu_ctrl=0000 | uut.alu_ctrl_inst.funct3=000 | uut.alu_ctrl_inst.funct7=0000000 | uut.alu_ctrl_inst.opcode=0110011 | uut.alu_inst.a=01101111011010001101000110101111 | uut.alu_inst.alu_ctrl=0000 | uut.alu_inst.b=00000101100011010110010001101101 | uut.alu_inst.result=01110100111101100011011000011100 | uut.alu_inst.zero=0 | uut.alu_result=01110100111101100011011000011100 | uut.ex_funct3=000 | uut.ex_funct7=0000000 | uut.ex_imm=00000000000000000000000000000000 | uut.ex_opcode=0110011 | uut.ex_rd1=01101111011010001101000110101111 | uut.ex_rd2=00000101100011010110010001101101 | uut.zero=0 | zero=0 | zero_out=0 | zero_r=0
